 CCCS Cloud Security Control Recommendations (31-May-2019),,,,,,,CSP Full Stack,CSP,,Client,,CDS Supplemental Attributes,,
AC-2(7)	,Account Management ,Technical,Account Management | Role-Based Schemes,"	ACCOUNT MANAGEMENT | ROLE-BASED SCHEMES
(a)	The organization establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles;
(b)	The organization monitors privileged role assignments; and
(c) The organization disables (or revokes) privileged user assignments within 24 hours or sooner when privileged role assignments are no longer appropriate.","Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. These privileged roles include, for example, key management, account management, network and system administration, database administration, and web administration.",X,X,X,X,X,X,X,,P2
AC-2(9)	,Account Management ,Technical,Account Management | Restrictions on Use of Shared Groups / Accounts,"	ACCOUNT MANAGEMENT | RESTRICTIONS ON USE OF SHARED GROUPS / ACCOUNTS
The organization only permits the use of shared/group accounts that meet organization-defined conditions for establishing shared/group accounts.",,X,X,X,X,X,X,X,,P3
AC-2(10)	,Account Management ,Technical,Account Management | Shared / Group Account Credential Termination,"	ACCOUNT MANAGEMENT | SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION
The information system terminates shared/group account credentials when members leave the group.",,X,X,X,X,X,,X,,P3
AC-3,Access Enforcement ,Technical,Access Enforcement,(A)	The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,"Access control policies (e.g., identity-based policies, role-based policies, attribute-based policies) and access enforcement mechanisms (e.g.: access control lists, access control matrices, cryptography) control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (e.g., devices, files, records, domains) in information systems. In addition to enforcing authorized access at the information system level and recognizing that information systems can host many applications and services in support of organizational missions and business operations, access enforcement mechanisms can also be employed at the application and service level to provide increased information security. Related controls: AC-2, AC-4, AC-5, AC-6, AC-16, AC-17, AC-18, AC-19, AC-20, AC-21, AC-22, AU-9, CM-5, CM-6, CM-11, MA-3, MA-4, MA-5, PE-3",X,X,X,X,X,,,X,P1
AC-4,Information Flow Enforcement ,Technical,Information Flow Enforcement,"(A)	The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on deny all, approve by exception information flow policies.","Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that information. Flow control restrictions include, for example, keeping export-controlled information from being transmitted in the clear to the Internet, blocking outside traffic that claims to be from within the organization, restricting web requests to the Internet that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between information systems representing different security domains with different security policies introduces risk that such transfers violate one or more domain security policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between interconnected systems. Organizations should consider mandating specific architectural solutions when required to enforce specific security policies. Enforcement includes, for example: (i) prohibiting information transfers between interconnected systems (i.e., allowing access only); (ii) employing hardware mechanisms to enforce one-way information flows; and (iii) implementing trustworthy re-grading mechanisms to reassign security attributes and security labels.
Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations (e.g., networks, individuals, and devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices (e.g., gateways, routers, guards, encrypted tunnels, firewalls) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics). Organizations also consider the trustworthiness of filtering/inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Related controls: AC-3, AC-17, AC-19, AC-21, CM-6, CM-7, SA-8, SC-2, SC-5, SC-7, SC-18.
",X,X,X,X,X,,,X,P1
AC-4(21)	,Information Flow Enforcement ,Technical,Information Flow Enforcement | Physical / Logical Separation of Information Flows,"	INFORMATION FLOW ENFORCEMENT | PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS
The information system separates information flows logically or physically using session encryption to accomplish separation of all sessions.","Enforcing the separation of information flows by type can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths perhaps not otherwise achievable. Types of separable information include, for example, inbound and outbound communications traffic, service requests and responses, and information of differing security categories.",X,X,X,,X,,,X,P3
AC-5,Separation of Duties ,Technical,Separation of Duties,"(A) The organization:
(a) Separate organization-defined duties of individuals including at least separation of operational, development, security monitoring, and management functions;
(b) Documents separation of duties of individuals; and 
(c) Defines information system access authorizations to support separation of duties.
","Separation of duties addresses the potential for abuse of authorized privileges and helps to reduce the risk of malevolent activity without collusion. Separation of duties includes, for example: (i) dividing mission functions and information system support functions among different individuals and/or roles; (ii) conducting information system support functions with different individuals (e.g., system management, programming, configuration management, quality assurance and testing, and network security); and (iii) ensuring security personnel administering access control functions do not also administer audit functions. Related controls: AC-3, AC-6, PE-3, PE-4, PS-2",X,X,X,X,X,X,X,,P1
AC-6,Least Privilege ,Technical,Least Privilege,"(A)	The organization employs the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.","Organizations employ least privilege for specific duties and information systems. The principle of least privilege is also applied to information system processes, ensuring that the processes operate at privilege levels no higher than necessary to accomplish required organizational missions/business functions. Organizations consider the creation of additional processes, roles, and information system accounts as necessary, to achieve least privilege. Organizations also apply least privilege to the development, implementation, and operation of organizational information systems. Related controls: AC-2, AC-3, AC-5, CM-6, CM-7, PL-2",X,X,X,X,X,X,X,,P1
AC-6(1)	,Least Privilege ,Technical,Least Privilege | Authorize Access to Security Functions,"	LEAST PRIVILEGE | AUTHORIZE ACCESS TO SECURITY FUNCTIONS
The organization explicitly authorizes access to all security functions not publicly accessible and all security-relevant information not publicly available.","Security functions include, for example, establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters. Security-relevant information includes, for example, filtering rules for routers/firewalls, cryptographic key management information, configuration parameters for security services, and access control lists. Explicitly authorized personnel include, for example, security administrators, system and network administrators, system security officers, system maintenance personnel, system programmers, and other privileged users. Related controls: AC-17, AC-18, AC-19.",X,X,X,X,X,X,X,,P2
AC-6(2)	,Least Privilege ,Technical,Least Privilege | Non-Privileged Access for Non-Security Functions,"	LEAST PRIVILEGE | NON-PRIVILEGED ACCESS FOR NON-SECURITY FUNCTIONS
The organization requires that users of information system accounts, or roles, with access to any security function, use non-privileged accounts or roles, when accessing non-security functions.",This control enhancement limits an information system’s exposure to threats when users are operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies such as RBAC and where a change of role provides the same degree of assurance in the change of access authorizations for both the user and all processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account. Related control: PL-4.,X,X,X,X,X,X,X,,P2
AC-6(5)	,Least Privilege ,Technical,Least Privilege | Privileged Accounts,"	LEAST PRIVILEGE | PRIVILEGED ACCOUNTS
The organization restricts privileged accounts on the information system to the minimum number of personnel required to securely administer, manage, and protect the information systems.","Privileged accounts, including super user accounts, are typically described as system administrators for various types of commercial off-the-shelf operating systems. Restricting privileged accounts to specific personnel or roles prevents day-to-day users from having access to privileged information/functions. Organizations may differentiate in the application of this control enhancement between allowed privileges for local accounts and for domain accounts provided organizations retain the ability to control information system configurations for key security parameters and as otherwise necessary to sufficiently mitigate risk. Related control: CM-6.",X,X,X,X,X,X,X,,P1
AC-6(9)	,Least Privilege ,Technical,Least Privilege | Auditing Use of Privileged Functions,"	LEAST PRIVILEGE | AUDITING USE OF PRIVILEGED FUNCTIONS
The information system audits the execution of privileged functions.","Misuse of privileged functions, either intentionally or unintentionally by authorized users, or by unauthorized external entities that have compromised information system accounts, is a serious and ongoing concern and can have significant adverse impacts on organizations. Auditing the use of privileged functions is one way to detect such misuse, and in doing so, help mitigate the risk from insider threats and the advanced persistent threat (APT). Related control: AU-2.",X,X,X,X,X,,X,,P3
AC-6(10)	,Least Privilege ,Technical,Least Privilege | Prohibit Non-Privileged Users from Executing Privileged Functions,"	LEAST PRIVILEGE | PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS
The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.","Privileged functions include, for example, establishing information system accounts, performing system integrity checks, or administering cryptographic key management activities. Non-privileged users are individuals that do not possess appropriate authorizations. Circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms are examples of privileged functions that require protection from non-privileged users.",X,X,X,X,X,,X,,P3
AC-7,Unsuccessful Login Attempts ,Technical,Unsuccessful Logon Attempts,"(A) The information system enforces a limit of not more than three consecutive invalid logon attempts by a user during a 15-minute time period.
(B) The information system automatically locks the account/node for a minimum of three (3) hours or until unlocked by an administrator. ","Due to the potential for denial of service, automatic lockouts initiated by the information system are usually temporary and automatically release after a predetermined time period established by the organization. If a delay algorithm is selected, the organization may choose to employ different algorithms for different information system components based on the capabilities of those components. Response to unsuccessful login attempts may be implemented at both the operating system and the application levels. This control applies to all accesses other than those accesses explicitly identified and documented by the organization in AC-14.
This security control/enhancement requires careful balance between usability and security. Care needs to be taken to ensure that the appropriate balance between the two seemingly conflicting requirements is achieved.
If possible, an increasing time-out period should be used to deter determined attackers. For example, an original time-out of 5 minutes can become 10 minutes after the next 3 unsuccessful attempts, then 20 minutes, then 40 minutes, etc.",X,X,X,X,X,,X,,P1
AC-8,System Use Notification ,Technical,System Use Notification,"(A)	The information system displays to users a organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices in accordance with organization's network use policies.
(B)	The information system retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system.
(C)	The information system for publicly accessible systems:
(a)	Displays system use information before granting further access;
(b)	Displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and
(c)	Includes a description of the authorized uses of the system.",System use notifications can be implemented using messages or warning banners displayed before individuals log in to information systems. System use notifications are used only for access via logon interfaces with human users and are not required when such human interfaces do not exist. Organizations consider system use notification messages/banners displayed in multiple languages based on specific organizational needs and the demographics of information system users. Organizations should also consult with legal services for review and approval of warning banner content,X,X,X,X,X,,,X,P1
AC-10,Concurrent Session Control ,Technical,Concurrent Session Control,(A)	The information system limits the number of concurrent sessions for all accounts unless justified for operation requirements to 3 sessions for privileged access and 2 sessions for non-privileged access.,"Organizations may define the maximum number of concurrent sessions for information system accounts globally, by account type (e.g., privileged user, non-privileged user, domain, specific application), by account, or a combination. For example, organizations may limit the number of concurrent sessions for system administrators or individuals working in particularly sensitive domains or mission-critical applications. This control addresses concurrent sessions for information system accounts and does not address concurrent sessions by single users via multiple system accounts",X,X,X,X,X,,,X,P2
AC-11,Session Lock ,Technical,Session Lock,"(A)	The information system prevents further access to the system by initiating a session lock after 15 minutes of inactivity or upon receiving a request from a user.
(B)	The information system retains the session lock until the user re-establishes access using established identification and authentication procedures.","Session locks are temporary actions taken when users stop work and move away from the immediate vicinity of information systems but do not want to log out because of the temporary nature of their absences. Session locks are implemented where session activities can be determined. This is typically at the operating system level, but can also be at the application level. Session locks are not an acceptable substitute for logging out of information systems, for example, if organizations require users to log out at the end of workdays. Related control: AC-7",X,X,X,X,X,,X,,P2
AC-11(1)	,Session Lock ,Technical,Session Lock | Pattern-Hiding Displays,"	SESSION LOCK | PATTERN-HIDING DISPLAYS
The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.","Publicly viewable images can include static or dynamic images, for example, patterns used with screen savers, photographic images, solid colors, clock, battery life indicator, or a blank screen, with the additional caveat that none of the images convey sensitive information.",X,X,X,X,X,,,X,P2
AC-12,Session Termination,Technical,Session Termination,(A)	The information system automatically terminates a user session after a maximum of 24 hours of inactivity or upon request by the user.,"This control addresses the termination of user-initiated logical sessions in contrast to SC-10 which addresses the termination of network connections that are associated with communications sessions (i.e., network disconnect). A logical session (for local, network, and remote access) is initiated whenever a user (or process acting on behalf of a user) accesses an organizational information system. Such user sessions can be terminated (and thus terminate user access) without terminating network sessions. Session termination terminates all processes associated with a user’s logical session except those processes that are specifically created by the user (i.e., session owner) to continue after the session is terminated. Conditions or trigger events requiring automatic session termination can include, for example, organization-defined periods of user inactivity, targeted responses to certain types of incidents, time-of-day restrictions on information system use. Related controls: SC-10, SC-23",X,X,X,X,X,,,X,P1
AC-14,Permitted Actions Without Identification or Authentication ,Technical,Permitted Actions without Identification or Authentication,"(A)	The organization identifies user actions that can be performed on the information system without identification or authentication consistent with organizational missions/business functions.
(B)	The organization documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification or authentication.","This control addresses situations in which organizations determine that no identification or authentication is required in organizational information systems. Organizations may allow a limited number of user actions without identification or authentication including, for example, when individuals access public websites or other publicly accessible federal information systems, when individuals use mobile phones to receive calls, or when facsimiles are received. Organizations also identify actions that normally require identification or authentication but may under certain circumstances (e.g., emergencies), allow identification or authentication mechanisms to be bypassed. Such bypasses may occur, for example, via a software-readable physical switch that commands bypass of the logon functionality and is protected from accidental or unmonitored use. This control does not apply to situations where identification and authentication have already occurred and are not repeated, but rather to situations where identification and authentication have not yet occurred. Organizations may decide that there are no user actions that can be performed on organizational information systems without identification and authentication and thus, the values for assignment statements can be none. Related controls: CP-2, IA-2",X,X,X,X,X,X,X,,P2
AC-17,Remote Access ,Technical,Remote Access,"(A)	The organization establishes and documents usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed.
(B)	The organization authorizes remote access to the information system prior to allowing such connections.
(AA)	The organization ensures that all employees working off site safeguard information as per the organization's minimum security requirements (NOTE: Item (AA) is not applicable to CSPs).","Remote access is access to organizational information systems by users (or processes acting on behalf of users) communicating through external networks (e.g., the Internet). Remote access methods include, for example, dial-up, broadband, and wireless. Organizations often employ encrypted virtual private networks (VPNs) to enhance confidentiality and integrity over remote connections. The use of encrypted VPNs does not make the access non-remote; however, the use of VPNs, when adequately provisioned with appropriate security controls (e.g., employing appropriate encryption techniques for confidentiality and integrity protection) may provide sufficient assurance to the organization that it can effectively treat such connections as internal networks. Still, VPN connections traverse external networks, and the encrypted VPN does not enhance the availability of remote connections. Also, VPNs with encrypted tunnels can affect the organizational capability to adequately monitor network communications traffic for malicious code. Remote access controls apply to information systems other than public web servers or systems designed for public access. This control addresses authorization prior to allowing remote access without specifying the formats for such authorization. While organizations may use interconnection security agreements to authorize remote access connections, such agreements are not required by this control. Enforcing access restrictions for remote connections is addressed in AC-3. Related controls: AC-2, AC-3, AC-18, AC-19, AC-20, CA-3, CA-7, CM-8, IA-2, IA-3, IA-8, MA-4, PE-17, PL-4, SC-10, SI-4",X,X,X,X,X,X,X,,P1
AC-17(1)	,Remote Access ,Technical,Remote Access | Automated Monitoring / Control,"	REMOTE ACCESS | AUTOMATED MONITORING / CONTROL
The information system monitors and controls remote access methods.","Automated monitoring and control of remote access sessions allows organizations to detect cyber-attacks and also ensure ongoing compliance with remote access policies by auditing connection activities of remote users on a variety of information system components (e.g., servers, workstations, notebook computers, smart phones, and tablets). Related controls: AU-2, AU-12.",X,X,X,X,X,,X,,P2
AC-17(2)	,Remote Access ,Technical,Remote Access | Protection of Confidentiality / Integrity using Encryption,"	REMOTE ACCESS | PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION
The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions. The cryptography must be compliant with the requirements of SC-13.",Guidance on the encryption strength of mechanism can be obtained from CSE upon request. ,X,X,X,X,X,,X,,P2
AC-17(3)	,Remote Access ,Technical,Remote Access | Managed Access Control Points,"	REMOTE ACCESS | MANAGED ACCESS CONTROL POINTS
The information system routes all remote accesses through approved managed network access control points.",Limiting the number of access control points for remote accesses reduces the attack surface for organizations.  Related control: SC-7.,X,X,X,X,X,,X,,P2
AC-17(4)	,Remote Access ,Technical,Remote Access | Privileged Commands / Access,"	REMOTE ACCESS | PRIVILEGED COMMANDS / ACCESS
(a)	The organization authorizes the execution of privileged commands and access to security-relevant information via remote access only for approved operational requirements; and
(b)	The organization documents the rationale for such access in the security plan for the information system.",Related control: AC-6.,X,X,X,X,X,X,X,,P2
AC-17(9)	,Remote Access ,Technical,Remote Access | Disconnect / Disable Access,"	REMOTE ACCESS | DISCONNECT / DISABLE ACCESS
The organization provides the capability to expeditiously disconnect or disable remote access to the information system within a period no greater than 15 minutes.",This control enhancement requires organizations to have the capability to rapidly disconnect current users remotely accessing the information system and/or disable further remote access. The speed of disconnect or disablement varies based on the criticality of missions/business functions and the need to eliminate immediate or future remote access to organizational information systems.,X,X,X,X,X,X,X,,P3
AC-17(100)	,Remote Access ,Technical,Remote Access | Remote Access to Privileged Accounts using Dedicated Management Console,	Remote access to privileged accounts is performed on dedicated management consoles governed entirely by the system’s security policies and used exclusively for this purpose (e.g. Internet access not allowed).,,X,X,X,X,X,X,X,,P2
AC-18,Wireless Access,Technical,Wireless Access,"(A)	The organization establishes usage restrictions, configuration/connection requirements, and implementation guidance for wireless access.
(B)	The organization authorizes wireless access to the information system prior to allowing such connections.","Wireless technologies include, for example, microwave, packet radio (UHF/VHF), 802.11, and Bluetooth. Wireless networks use authentication protocols (e.g., Extensible Authentication Protocol (EAP) / Transport Layer Security (TLS), Protected EAP (PEAP)), which provide credential protection and mutual authentication. Related controls: AC-2, AC-3, AC-17, AC-19, CA-3, CA-7, CM-8, IA-2, IA-3, IA-8, PL-4, SI-4, SC-9",X,X,X,,X,X,X,,P1
AC-18(1)	,Wireless Access,Technical,Wireless Access | Authentication and Encryption,"	WIRELESS ACCESS | AUTHENTICATION AND ENCRYPTION
The information system protects wireless access to the system using authentication of devices to wireless networks (e.g., Wi-Fi) and users to enterprise services and encryption.","Related controls: SC-8, SC-13.",X,X,X,,X,,,X,P2
AC-18(4)	,Wireless Access,Technical,Wireless Access | Restrict Configurations by Users,"	WIRELESS ACCESS | RESTRICT CONFIGURATIONS BY USERS
The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.","Organizational authorizations to allow selected users to configure wireless networking capability are enforced in part, by the access enforcement mechanisms employed within organizational information systems. Related controls: AC-3, SC-15.",X,,,,X,X,X,,P2
AC-19,Access Control for Mobile Devices,Technical,Access Control for Mobile Devices,"(A)	The organization establishes usage restrictions, configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices.
(B)	The organization authorizes the connection of mobile devices to organizational information systems.","A mobile device is a computing device that: (i) has a small form factor such that it can easily be carried by a single individual; (ii) is designed to operate without a physical connection (e.g., wirelessly transmit or receive information); (iii) possesses local, non-removable or removable data storage; and (iv) includes a self-contained power source. Mobile devices may also include voice communication capabilities, on-board sensors that allow the device to capture information, and/or built-in features for synchronizing local data with remote locations. Examples include smart phones, E-readers, and tablets. Mobile devices are typically associated with a single individual and the device is usually in close proximity to the individual; however, the degree of proximity can vary depending upon on the form factor and size of the device. The processing, storage, and transmission capability of the mobile device may be comparable to or merely a subset of desktop systems, depending upon the nature and intended purpose of the device. Due to the large variety of mobile devices with different technical characteristics and capabilities, organizational restrictions may vary for the different classes/types of such devices. Usage restrictions and specific implementation guidance for mobile devices include, for example, configuration management, device identification and authentication, implementation of mandatory protective software (e.g., malicious code detection, firewall), scanning devices for malicious code, updating virus protection software, scanning for critical software updates and patches, conducting primary operating system (and possibly other resident software) integrity checks, and disabling unnecessary hardware (e.g., wireless, infrared). Organizations are cautioned that the need to provide adequate security for mobile devices goes beyond the requirements in this control. Many safeguards and countermeasures for mobile devices are reflected in other security controls in the catalog allocated in the initial control baselines as starting points for the development of security plans and overlays using the tailoring process. There may also be some degree of overlap in the requirements articulated by the security controls within the different families of controls. AC-20 addresses mobile devices that are not organization-controlled. Related controls: AC-3, AC-7, AC-18, AC-20, CA-9, CM-2, IA-2, IA-3, MP-2, MP-4, MP-5, PL-4, SC-7, SC-43, SI-3, SI-4",X,X,X,X,X,X,X,,P1
AC-20,Use of External Information Systems ,Technical,Use of External Information Systems,"(A)	The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from external information systems.
(B)	The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process, store, or transmit organization-controlled information using external information systems.",,X,X,X,X,X,X,X,,P2
AC-20(1)	,Use of External Information Systems ,Technical,Use of External Information Systems | Limits of Authorized Use,"	USE OF EXTERNAL INFORMATION SYSTEMS | LIMITS ON AUTHORIZED USE
The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization:
(a)	Verifies the implementation of required security controls on the external system as specified in the organization’s information security policy and security plan; or
(b)	Retains approved information system connection or processing agreements with the organizational entity hosting the external information system.","This control enhancement recognizes that there are circumstances where individuals using external information systems (e.g., contractors, partners) need to access organizational information systems. In those situations, organizations need confidence that the external information systems contain the necessary security safeguards (i.e., security controls), so as not to compromise, damage, or otherwise harm organizational information systems. Verification that the required security controls have been implemented can be achieved, for example, by third-party, independent assessments, attestations, or other means, depending on the confidence level required by organizations. Related control: CA-2.",X,X,X,X,X,X,X,,P2
AC-20(2)	,Use of External Information Systems ,Technical,Use of External Information Systems | Portable Storage Devices,"	USE OF EXTERNAL INFORMATION SYSTEMS | PORTABLE STORAGE DEVICES
The organization restricts unless approval obtained for operational reasons the use of organization-controlled mobile devices by authorized individuals on external information systems.","Limits on the use of organization-controlled mobile devices in external information systems include, for example, complete prohibition of the use of such devices or restrictions on how the devices may be used and under what conditions the devices may be used.",X,X,X,X,X,X,X,,P2
AC-21,User-Based Collaboration and Information Sharing,Technical,Information Sharing,"(A)	The organization facilitates information sharing by enabling authorized users to determine if access authorizations assigned to the sharing partner match the access restrictions on the information for organization-defined information sharing circumstances where user discretion is required; and
(B) The organization employs organization-defined automated mechanisms or manual processes to assist users in making information sharing/collaboration decisions.","This control applies to information that may be restricted in some manner (e.g., privileged medical information, contract-sensitive information, proprietary information, personally identifiable information, classified information related to special access programs or compartments) based on some formal or administrative determination. Depending on the particular information-sharing circumstances, sharing partners may be defined at the individual, group, or organizational level. Information may be defined by content, type, security category, or special access program/compartment. Related control: AC-3",X,X,X,X,X,X,X,,P2
